experiment_type,run_number,generations,best_score,generation_found,run_time_ms
incremental,6,10,9999469665,10,1199
incremental,7,10,9998470043,10,1210
incremental,8,10,9996469574,8,1231
incremental,9,10,9999469902,8,1206
incremental,10,10,9998469895,7,1193
incremental,11,10,9997469869,6,1210
incremental,12,10,9999469785,10,1186
incremental,13,10,9999470034,9,1201
incremental,14,10,9997469777,5,1201
incremental,15,10,9999469866,6,1179
incremental,16,10,9994469706,7,1182
incremental,17,10,9999469795,7,1180
incremental,18,10,9997469648,10,1189
incremental,19,10,9999469698,8,1184
incremental,20,10,9998469802,9,1180
incremental,21,10,9996469636,7,1180
incremental,22,10,9998469550,9,1176
incremental,23,10,9997469643,9,1184
incremental,24,10,9997469861,2,1185
incremental,25,10,9997469861,3,1183
incremental,26,10,9999469731,10,1186
incremental,27,10,9999469609,7,1178
incremental,28,10,9997469862,3,1179
incremental,29,10,9997469610,6,1177
incremental,30,10,9997469648,10,1181
incremental,31,10,9999469763,10,1188
incremental,32,10,9997469590,9,1180
incremental,33,10,9999470000,8,1179
incremental,34,10,9996469525,8,1182
incremental,35,10,9998469847,8,1182
incremental,36,10,9997469729,5,1179
incremental,37,10,9996469708,6,1176
incremental,38,10,9999469801,9,1175
incremental,39,10,9999469926,7,1181
incremental,40,10,9997469678,10,1181
incremental,41,10,9998469562,9,1175
incremental,42,10,9997469601,9,1185
incremental,43,10,9996469777,4,1183
incremental,44,10,9998470097,7,1183
incremental,45,10,9999469885,10,1183
incremental,46,10,9998469736,6,1180
incremental,47,10,9998469822,9,1183
incremental,48,10,9998469789,8,1183
incremental,49,10,9999469889,9,1179
incremental,0,30,9999469780,21,2077
incremental,1,30,9999470055,18,2074
incremental,2,30,9999470189,22,2078
incremental,3,30,9999469893,14,2075
incremental,4,30,9999469943,17,2082
incremental,5,30,9999470216,9,2102
incremental,6,30,9999469871,12,2086
incremental,7,30,9999470093,24,2077
incremental,8,30,9999469958,23,2078
incremental,9,30,9999470110,24,2079
incremental,10,30,9999470163,16,2090
incremental,11,30,9999470044,20,2073
incremental,12,30,9999469738,12,2073
incremental,13,30,9999470006,28,2078
incremental,14,30,9999470000,27,2076
incremental,15,30,9999469898,19,2081
incremental,16,30,9999470276,28,2076
incremental,17,30,9999470048,13,2074
incremental,18,30,9998469692,2,2072
incremental,19,30,9999469697,12,2079
incremental,20,30,9999469829,12,2083
incremental,21,30,9999470059,18,2087
incremental,22,30,9999469917,9,2087
incremental,23,30,9999469984,6,2130
incremental,24,30,9999469897,23,2136
incremental,25,30,9999469944,14,2077
incremental,26,30,9999469812,28,2080
incremental,27,30,9999469960,13,2115
incremental,28,30,9999469935,19,2080
incremental,29,30,9999470199,25,2080
incremental,30,30,9999470198,29,2082
incremental,31,30,9999469909,12,2079
incremental,32,30,9999470178,23,2078
incremental,33,30,9999469889,9,2074
incremental,34,30,9999470021,28,2076
incremental,35,30,9999470123,14,2083
incremental,36,30,9999469904,15,2070
incremental,37,30,9999469892,21,2085
incremental,38,30,9999469846,18,2075
incremental,39,30,9999470112,24,2082
incremental,40,30,9999470096,17,2084
incremental,41,30,9999470002,23,2073
incremental,42,30,9999470359,19,2077
incremental,43,30,9999470086,21,2085
incremental,44,30,9999470074,11,2083
incremental,45,30,9999470106,25,2090
incremental,46,30,9999469935,18,2080
incremental,47,30,9999469964,24,2082
incremental,48,30,9999470089,10,2077
incremental,49,30,9999470138,16,2084
incremental,0,50,9999469838,13,2991
incremental,1,50,9999470077,20,2974
incremental,2,50,9999939838,49,2987
incremental,3,50,9999939576,48,2981
incremental,4,50,9999939599,48,2970
incremental,5,50,9999470101,26,2976
incremental,6,50,9999939485,29,2975
incremental,7,50,9999469777,30,2979
incremental,8,50,9999469903,13,3027
incremental,9,50,9999470246,22,2977
incremental,10,50,9999940082,41,2992
incremental,11,50,9999470024,14,2976
incremental,12,50,9999939787,31,2978
incremental,13,50,9999939766,45,2993
incremental,14,50,9999470133,9,2978
incremental,15,50,9999939589,40,2969
incremental,16,50,9999470224,38,2972
incremental,17,50,9999939688,44,2966
incremental,18,50,9999470150,30,2978
incremental,19,50,9999469940,40,2980
incremental,20,50,9999939831,41,2976
incremental,21,50,9999939996,50,2967
incremental,22,50,9999940098,48,2977
incremental,23,50,9999470032,11,2989
incremental,24,50,9999939673,50,2971
incremental,25,50,9999939698,43,2986
incremental,26,50,9999470228,17,2971
incremental,27,50,9999470091,20,2976
incremental,28,50,9999469929,13,2956
incremental,29,50,9999470045,21,2995
incremental,30,50,9999939765,48,3027
incremental,31,50,9999940031,49,2975
incremental,32,50,9999939565,50,2984
incremental,33,50,9999469752,14,2984
incremental,34,50,9999939705,48,2970
incremental,35,50,9999939757,48,2964
incremental,36,50,9999470011,18,2978
incremental,37,50,9999470167,23,2975
incremental,38,50,9999470137,44,2988
incremental,39,50,9999470074,23,2975
incremental,40,50,9999940193,38,2988
incremental,41,50,9999939522,35,3001
incremental,42,50,9999469968,25,2983
incremental,43,50,9999939701,43,3002
incremental,44,50,9999470199,34,2987
incremental,45,50,9999939873,44,2985
incremental,46,50,9999470187,31,2971
incremental,47,50,9999940127,48,2982
incremental,48,50,9999469899,34,2979
incremental,49,50,9999940032,45,3008
incremental,0,70,9999940425,54,3878
incremental,1,70,9999940102,70,3866
incremental,2,70,9999940252,68,3892
incremental,3,70,9999939762,50,3935
incremental,4,70,9999940301,65,3892
incremental,5,70,9999940055,55,3940
incremental,6,70,9999939857,47,3936
incremental,7,70,9999940139,46,3941
incremental,8,70,9999939989,69,3969
incremental,9,70,9999940097,66,3956
incremental,10,70,9999939973,69,3960
incremental,11,70,9999940259,59,3932
incremental,12,70,9999940145,67,3902
incremental,13,70,9999939938,57,3891
incremental,14,70,9999939703,63,3945
incremental,15,70,9999939650,48,3915
incremental,16,70,9999939721,53,3908
incremental,17,70,9999939629,56,3898
incremental,18,70,9999940191,63,3910
incremental,19,70,9999940222,65,3930
incremental,20,70,9999939995,61,3976
incremental,21,70,9999940031,63,4112
incremental,22,70,9999940420,68,3971
incremental,23,70,9999939898,55,3978
incremental,24,70,9999940007,43,4076
incremental,25,70,9999940024,61,4003
incremental,26,70,9999939952,60,4095
incremental,27,70,9999470203,26,4003
incremental,28,70,9999940118,69,3951
incremental,29,70,9999939743,55,3917
incremental,30,70,9999939601,65,3908
incremental,31,70,9999939772,70,3947
incremental,32,70,9999939894,67,3907
incremental,33,70,9999939759,60,3920
incremental,34,70,9999939796,50,3928
incremental,35,70,9999939918,63,3960
incremental,36,70,9999940193,68,4033
incremental,37,70,9999939742,53,3881
incremental,38,70,9999939735,62,3893
incremental,39,70,9999940371,64,3872
incremental,40,70,9999940458,58,3892
incremental,41,70,9999939979,60,3899
incremental,42,70,9999939865,59,3904
incremental,43,70,9999940032,69,3893
incremental,44,70,9999939937,59,3875
incremental,45,70,9999940123,60,4062
incremental,46,70,9999939878,46,4014
incremental,47,70,9999939998,57,3911
incremental,48,70,9999940246,42,3905
incremental,49,70,9999939931,50,4011
incremental,0,90,9999940128,76,4852
incremental,1,90,9999939956,66,4769
incremental,2,90,9999940044,80,4818
incremental,3,90,9999939926,67,4749
incremental,4,90,9999939632,57,4762
incremental,5,90,9999940258,68,4852
incremental,6,90,9999939676,59,4891
incremental,7,90,9999940068,72,4826
incremental,8,90,9999939941,84,4822
incremental,9,90,9999940233,55,4884
incremental,10,90,9999940437,85,4802
incremental,11,90,9999940006,82,4873
incremental,12,90,9999939918,49,4818
incremental,13,90,9999940170,82,4889
incremental,14,90,9999940277,75,4843
incremental,15,90,9999939978,83,4816
incremental,16,90,9999940215,68,4856
incremental,17,90,9999940025,73,4839
incremental,18,90,9999940180,77,4784
incremental,19,90,9999939891,68,4823
incremental,20,90,9999939925,67,4762
incremental,21,90,9999940455,83,4759
incremental,22,90,9999940047,88,4746
incremental,23,90,9999940080,74,4777
incremental,24,90,9999940147,76,4776
incremental,25,90,9999940233,46,4763
incremental,26,90,9999940323,61,4759
incremental,27,90,9999939953,65,4745
incremental,28,90,9999940411,77,4790
incremental,29,90,9999940104,52,4781
incremental,30,90,9999939952,63,4783
incremental,31,90,9999940191,70,4768
incremental,32,90,9999939685,67,4771
incremental,33,90,9999940058,85,4762
incremental,34,90,9999940543,80,4770
incremental,35,90,9999940417,54,4793
incremental,36,90,9999939832,67,4762
incremental,37,90,9999939842,68,4764
incremental,38,90,9999940119,59,4775
incremental,39,90,9999940332,82,4759
incremental,40,90,9999940380,80,4771
incremental,41,90,9999940141,62,4769
incremental,42,90,9999940367,83,4822
incremental,43,90,9999939974,48,4765
incremental,44,90,9999940175,79,4746
incremental,45,90,9999940425,66,4762
incremental,46,90,9999940024,85,4855
incremental,47,90,9999940090,77,4944
incremental,48,90,9999939939,49,4822
incremental,49,90,9999939898,85,4800
incremental,0,110,9999940214,56,5701
incremental,1,110,9999940386,110,5689
incremental,2,110,9999940084,57,5673
incremental,3,110,9999939815,47,5699
incremental,4,110,9999940262,62,5662
incremental,5,110,9999940000,100,5694
incremental,6,110,9999940292,75,6011
incremental,7,110,9999940053,62,5863
incremental,8,110,9999940094,67,5692
incremental,9,110,9999940080,100,5690
incremental,10,110,9999940342,97,5723
incremental,11,110,9999940235,89,5641
incremental,12,110,9999940148,79,5738
incremental,13,110,9999940208,69,5800
incremental,14,110,9999940250,76,5667
incremental,15,110,9999940291,74,5752
incremental,16,110,9999940149,93,5651
incremental,17,110,9999940066,86,5642
incremental,18,110,9999940327,94,5633
incremental,19,110,9999940303,94,5641
incremental,20,110,9999940061,68,5643
incremental,21,110,9999940168,64,5636
incremental,22,110,9999940441,68,5650
incremental,23,110,9999940058,59,5653
incremental,24,110,9999940136,74,5642
incremental,25,110,9999939963,98,5652
incremental,26,110,9999940067,76,5659
incremental,27,110,9999940213,82,5626
incremental,28,110,9999940132,80,5645
incremental,29,110,9999940288,68,5673
incremental,30,110,9999939968,59,5678
incremental,31,110,9999940361,90,5685
incremental,32,110,9999939977,76,5651
incremental,33,110,9999940020,65,5690
incremental,34,110,9999940037,100,5689
incremental,35,110,9999940224,97,5659
incremental,36,110,9999940194,86,5692
incremental,37,110,9999940252,89,5677
incremental,38,110,9999940404,78,5672
incremental,39,110,9999940208,85,5978
incremental,40,110,9999940225,80,5681
incremental,41,110,9999940089,71,5697
incremental,42,110,9999940044,77,5790
incremental,43,110,9999940145,67,5668
incremental,44,110,9999939944,65,5681
incremental,45,110,9999940132,107,5870
incremental,46,110,9999940417,76,5571
incremental,47,110,9999940046,79,5618
incremental,48,110,9999940359,109,5515
incremental,49,110,9999940295,109,5522
incremental,0,130,9999940278,66,6376
incremental,1,130,9999940140,98,6393
incremental,2,130,9999940263,118,6397
incremental,3,130,9999940235,72,6374
incremental,4,130,9999940128,51,6382
incremental,5,130,9999940549,101,6376
incremental,6,130,9999940072,86,6389
incremental,7,130,9999940132,77,6404
incremental,8,130,9999939927,79,6386
incremental,9,130,9999940164,86,6387
incremental,10,130,9999940014,58,6384
incremental,11,130,9999940051,45,6388
incremental,12,130,9999940373,83,6410
incremental,13,130,9999939941,100,6382
incremental,14,130,9999940180,63,6392
incremental,15,130,9999940386,71,6386
incremental,16,130,9999940284,90,6389
incremental,17,130,9999940226,112,6378
incremental,18,130,9999940429,128,6407
incremental,19,130,9999940214,99,6384
incremental,20,130,9999940029,55,6379
incremental,21,130,9999940178,77,6436
incremental,22,130,9999940590,60,6388
incremental,23,130,9999939859,78,6435
incremental,24,130,9999940400,110,6391
incremental,25,130,9999940555,96,6403
incremental,26,130,9999940315,74,6447
incremental,27,130,9999940085,96,6375
incremental,28,130,9999939956,75,6382
incremental,29,130,9999939968,68,6397
incremental,30,130,9999940223,100,6376
incremental,31,130,9999939925,56,6392
incremental,32,130,9999940248,103,6372
incremental,33,130,9999940096,105,6438
incremental,34,130,9999940214,98,6404
incremental,35,130,9999939965,79,6401
incremental,36,130,9999939968,73,6383
incremental,37,130,9999940035,88,6394
incremental,38,130,9999940132,47,6375
incremental,39,130,9999940180,97,6370
incremental,40,130,9999940106,67,6400
incremental,41,130,9999940223,74,6375
incremental,42,130,9999940254,109,6458
incremental,43,130,9999940315,91,6352
incremental,44,130,9999940185,102,6305
incremental,45,130,9999940085,97,6314
incremental,46,130,9999940021,55,6307
incremental,47,130,9999940097,109,6305
incremental,48,130,9999940486,130,6305
incremental,49,130,9999939985,77,6292
incremental,0,150,9999940016,74,7166
incremental,1,150,9999940210,77,7143
incremental,2,150,9999939971,74,7162
incremental,3,150,9999939907,101,7165
incremental,4,150,9999940108,98,7169
incremental,5,150,9999940224,49,7156
incremental,6,150,9999939981,104,7150
incremental,7,150,9999940420,124,7166
incremental,8,150,9999940241,82,7173
incremental,9,150,9999940280,93,7153
incremental,10,150,9999940394,107,7148
incremental,11,150,9999939881,90,7182
incremental,12,150,9999940232,88,7173
incremental,13,150,9999940286,97,7166
incremental,14,150,9999940537,116,7161
incremental,15,150,9999939943,68,7154
incremental,16,150,9999940243,96,7163
incremental,17,150,9999940238,80,7197
incremental,18,150,9999940366,115,7157
incremental,19,150,9999940256,97,7579
incremental,20,150,9999940426,62,7561
incremental,21,150,9999940353,133,7403
incremental,22,150,9999940288,69,7215
incremental,23,150,9999940116,60,7241
incremental,24,150,9999940222,94,7222
incremental,25,150,9999940361,65,7239
incremental,26,150,9999939803,64,7230
incremental,27,150,9999940006,56,7691
incremental,28,150,9999940439,112,7624
incremental,29,150,9999940247,79,7631
incremental,30,150,9999940186,65,7633
incremental,31,150,9999940142,87,7646
incremental,32,150,9999940025,82,7682
incremental,33,150,9999940169,71,7649
incremental,34,150,9999940215,94,7639
incremental,35,150,9999940068,58,7710
incremental,36,150,9999940180,96,7832
incremental,37,150,9999940185,70,7693
incremental,38,150,9999940533,122,7633
incremental,39,150,9999940361,123,7729
incremental,40,150,9999940748,148,7683
incremental,41,150,9999939991,103,7716
incremental,42,150,9999939971,121,7573
incremental,43,150,9999940283,86,7573
incremental,44,150,9999940156,96,7573
incremental,45,150,9999940193,55,7584
incremental,46,150,9999940160,95,7606
incremental,47,150,9999940093,57,7799
incremental,48,150,9999940003,66,7551
incremental,49,150,9999940147,70,7413
incremental,0,170,9999940686,125,8495
incremental,1,170,9999940274,93,8683
incremental,2,170,9999940250,103,8405
incremental,3,170,9999940215,83,8422
incremental,4,170,9999940226,95,8408
incremental,5,170,9999940228,100,8368
incremental,6,170,9999940056,65,8750
incremental,7,170,9999939808,75,8600
incremental,8,170,9999939972,99,8682
incremental,9,170,9999940178,96,8513
incremental,10,170,9999940693,98,8512
incremental,11,170,9999940323,99,8503
incremental,12,170,9999940246,89,8481
incremental,13,170,9999940307,91,8510
incremental,14,170,9999939938,107,8538
incremental,15,170,9999940401,124,8491
incremental,16,170,9999939732,57,8500
incremental,17,170,9999940265,105,8494
incremental,18,170,9999940181,88,8551
incremental,19,170,9999940302,62,8570
incremental,20,170,9999940158,101,8583
incremental,21,170,9999940155,83,8597
incremental,22,170,9999940361,47,8625
incremental,23,170,9999940268,81,8523
incremental,24,170,9999940348,58,8499
incremental,25,170,9999940450,108,8590
incremental,26,170,9999940317,95,8396
incremental,27,170,9999940309,73,8398
incremental,28,170,9999940092,55,8430
incremental,29,170,9999940492,119,8404
incremental,30,170,9999940224,79,8490
incremental,31,170,9999940324,100,8432
incremental,32,170,9999940286,104,8398
incremental,33,170,9999940493,122,8479
incremental,34,170,9999940030,87,8399
incremental,35,170,9999940235,91,8445
incremental,36,170,9999940171,100,8480
incremental,37,170,9999940275,75,8480
incremental,38,170,9999940137,82,8520
incremental,39,170,9999940323,100,8512
incremental,40,170,9999940216,99,8374
incremental,41,170,9999940474,53,8655
incremental,42,170,9999940339,107,8602
incremental,43,170,9999940271,132,8589
incremental,44,170,9999940168,64,8530
incremental,45,170,9999940146,117,8533
incremental,46,170,9999940106,67,8454
incremental,47,170,9999940163,156,8417
incremental,48,170,9999940338,84,8407
incremental,49,170,9999940168,79,8455
incremental,0,190,9999939841,65,9339
incremental,1,190,9999940554,84,9322
incremental,2,190,9999940402,101,9346
incremental,3,190,9999939933,74,9325
incremental,4,190,9999940052,57,9341
incremental,5,190,9999940188,102,9408
incremental,6,190,9999940124,108,9273
incremental,7,190,9999940147,51,9194
incremental,8,190,9999940291,80,9411
incremental,9,190,9999940148,80,9388
incremental,10,190,9999940197,51,9255
incremental,11,190,9999940183,46,9242
incremental,12,190,9999940162,95,9281
incremental,13,190,9999940001,96,9266
incremental,14,190,9999940358,128,9257
incremental,15,190,9999940097,61,9295
incremental,16,190,9999940050,64,9257
incremental,17,190,9999940303,74,9279
incremental,18,190,9999940202,81,8967
incremental,19,190,9999940163,87,8944
incremental,20,190,9999940070,78,8939
incremental,21,190,9999940112,79,8944
incremental,22,190,9999940223,84,9029
incremental,23,190,9999939973,58,8970
incremental,24,190,9999940095,94,9050
incremental,25,190,9999939915,96,9119
incremental,26,190,9999940131,64,9006
incremental,27,190,9999940033,56,8947
incremental,28,190,9999940206,65,8975
incremental,29,190,9999940106,72,8972
incremental,30,190,9999940746,106,9335
incremental,31,190,9999940188,57,9409
incremental,32,190,9999940213,76,9090
incremental,33,190,9999940227,85,9051
incremental,34,190,9999940007,131,9141
incremental,35,190,9999940128,52,9358
incremental,36,190,9999940964,172,9425
incremental,37,190,9999940111,55,9064
incremental,38,190,9999940305,87,9382
incremental,39,190,9999940231,103,9392
incremental,40,190,9999940450,81,9278
incremental,41,190,9999940090,120,9406
incremental,42,190,9999940542,78,9385
incremental,43,190,9999940016,85,9314
incremental,44,190,9999940166,58,9317
incremental,45,190,9999940478,76,9359
incremental,46,190,9999940222,96,9322
incremental,47,190,9999940410,127,9284
incremental,48,190,9999940326,98,9325
incremental,49,190,9999940346,78,9284
incremental,0,210,9999939980,87,10101
incremental,1,210,9999940319,78,10336
incremental,2,210,9999940262,68,10339
incremental,3,210,9999940308,75,10751
incremental,4,210,9999940639,62,10335
incremental,5,210,9999940239,55,10136
incremental,6,210,9999940105,91,10140
incremental,7,210,9999940196,41,10204
incremental,8,210,9999940288,107,10394
incremental,9,210,9999940112,72,10588
incremental,10,210,9999939954,72,10383
incremental,11,210,9999940234,67,10403
incremental,12,210,9999940321,102,10283
incremental,13,210,9999940116,112,10278
incremental,14,210,9999940383,102,10459
incremental,15,210,9999940046,56,10439
incremental,16,210,9999940188,129,10263
incremental,17,210,9999940112,68,10180
incremental,18,210,9999940448,106,10327
incremental,19,210,9999940217,106,10313
incremental,20,210,9999940451,107,10380
incremental,21,210,9999940067,76,10321
incremental,22,210,9999940093,78,10337
incremental,23,210,9999939860,62,10336
incremental,24,210,9999940012,113,10223
incremental,25,210,9999940792,81,10129
incremental,26,210,9999940335,75,10193
incremental,27,210,9999940018,74,10191
incremental,28,210,9999940291,57,10200
incremental,29,210,9999940166,96,10181
incremental,30,210,9999940129,137,10216
incremental,31,210,9999940271,98,10215
incremental,32,210,9999939641,72,10182
incremental,33,210,9999940195,67,10220
incremental,34,210,9999940248,81,10232
incremental,35,210,9999940058,77,10217
incremental,36,210,9999940272,103,10216
incremental,37,210,9999939910,94,10226
incremental,38,210,9999940205,60,10157
incremental,39,210,9999940122,72,10237
incremental,40,210,9999940080,80,10170
incremental,41,210,9999940187,70,10243
incremental,42,210,9999940168,125,10239
incremental,43,210,9999940257,89,10160
incremental,44,210,9999940536,106,10183
incremental,45,210,9999940137,80,10172
incremental,46,210,9999939971,71,10267
incremental,47,210,9999940632,87,10214
incremental,48,210,9999940193,96,10194
incremental,49,210,9999940128,67,10204
incremental,0,230,9999940189,91,11051
incremental,1,230,9999940452,77,11063
incremental,2,230,9999940704,110,11060
incremental,3,230,9999939922,87,11047
incremental,4,230,9999940177,50,11071
incremental,5,230,9999940284,74,11109
incremental,6,230,9999939885,103,11221
incremental,7,230,9999940018,86,11079
incremental,8,230,9999940200,93,10849
incremental,9,230,9999940427,111,10898
incremental,10,230,9999940221,120,10953
incremental,11,230,9999940337,71,10757
incremental,12,230,9999940231,77,10743
incremental,13,230,9999940487,91,10728
incremental,14,230,9999940056,104,10780
incremental,15,230,9999940216,83,10786
incremental,16,230,9999940415,86,10747
incremental,17,230,9999940056,76,10746
incremental,18,230,9999940084,70,10752
incremental,19,230,9999939805,85,10938
incremental,20,230,9999940119,81,11345
incremental,21,230,9999940062,82,11339
incremental,22,230,9999939953,54,10822
incremental,23,230,9999940209,67,10733
incremental,24,230,9999940228,128,10783
incremental,25,230,9999939954,80,10765
incremental,26,230,9999940240,77,10789
incremental,27,230,9999940134,123,10752
incremental,28,230,9999940162,71,10753
incremental,29,230,9999940422,128,10790
incremental,30,230,9999940321,62,10756
incremental,31,230,9999940208,72,10763
incremental,32,230,9999940512,96,10764
incremental,33,230,9999939934,102,10745
incremental,34,230,9999940016,64,10733
incremental,35,230,9999940376,81,10793
incremental,36,230,9999939798,82,10760
incremental,37,230,9999940326,96,10754
incremental,38,230,9999940425,69,10827
incremental,39,230,9999940100,75,10766
incremental,40,230,9999939989,70,10762
incremental,41,230,9999940012,66,10771
incremental,42,230,9999940491,71,10757
incremental,43,230,9999939999,83,10820
incremental,44,230,9999940457,74,10797
incremental,45,230,9999939850,82,10759
incremental,46,230,9999940308,55,10764
incremental,47,230,9999940452,57,10748
incremental,48,230,9999940222,85,10759
incremental,49,230,9999940536,93,10825
baseline,0,100,9999939927,62,9254
baseline,1,100,9999940064,78,8959
baseline,2,100,9999940027,82,9325
baseline,3,100,9999940076,84,8916
baseline,4,100,9999940532,96,8934
baseline,5,100,9999940420,54,8911
baseline,6,100,9999940269,93,8823
baseline,7,100,9999940069,91,8830
baseline,8,100,9999940415,50,8850
baseline,9,100,9999939976,51,8851
baseline,10,100,9999940157,94,8884
baseline,11,100,9999940165,98,8831
baseline,12,100,9999940152,90,8838
baseline,13,100,9999940332,74,8836
baseline,14,100,9999940200,58,8905
baseline,15,100,9999940383,81,8902
baseline,16,100,9999940001,66,8824
baseline,17,100,9999940177,90,9044
baseline,18,100,9999940348,93,8857
baseline,19,100,9999940035,58,8899
baseline,20,100,9999940267,76,8822
baseline,21,100,9999939839,61,8901
baseline,22,100,9999940328,74,8850
baseline,23,100,9999940011,80,8857
baseline,24,100,9999940115,96,8833
baseline,25,100,9999940116,77,9069
baseline,26,100,9999940424,64,8862
baseline,27,100,9999940127,73,8834
baseline,28,100,9999940466,87,8869
baseline,29,100,9999940293,90,8870
baseline,30,100,9999940094,78,8845
baseline,31,100,9999939992,67,8832
baseline,32,100,9999940558,94,8933
baseline,33,100,9999940081,96,9015
baseline,34,100,9999940301,92,8915
baseline,35,100,9999940200,87,8851
baseline,36,100,9999940119,72,8894
baseline,37,100,9999940010,72,8980
baseline,38,100,9999940263,86,9313
baseline,39,100,9999940276,74,9239
baseline,40,100,9999940360,91,8922
baseline,41,100,9999939946,52,8927
baseline,42,100,9999940224,63,8926
baseline,43,100,9999940177,97,8939
baseline,44,100,9999940154,77,8866
baseline,45,100,9999940336,87,8883
baseline,46,100,9999940582,70,8913
baseline,47,100,9999940379,88,8867
baseline,48,100,9999940373,98,8979
baseline,49,100,9999940171,61,8874
incremental,0,5,9994469865,5,910
incremental,1,5,9996469650,4,911
incremental,2,5,9995469645,5,911
incremental,3,5,9992469607,2,910
incremental,4,5,9989469342,3,912
incremental,5,5,9994469508,2,913
incremental,6,5,9996469726,4,912
incremental,7,5,9994469491,0,910
incremental,8,5,9997469848,5,909
incremental,9,5,9999469595,5,912
incremental,10,5,9993469432,4,915
incremental,11,5,9997469642,3,910
incremental,12,5,9997469844,4,910
incremental,13,5,9995469575,5,915
incremental,14,5,9995469427,3,911
incremental,15,5,9995469604,4,910
incremental,16,5,9996469732,4,911
incremental,17,5,9994469538,5,911
incremental,18,5,9998469468,2,959
incremental,19,5,9994469361,1,911
incremental,20,5,9999469588,4,910
incremental,21,5,9996469725,5,910
incremental,22,5,9993469354,1,910
incremental,23,5,9994469365,5,915
incremental,24,5,9993469407,5,913
incremental,25,5,9997470008,5,911
incremental,26,5,9993469383,2,911
incremental,27,5,9995469476,5,911
incremental,28,5,9994469452,1,908
incremental,29,5,9994469437,4,908
incremental,30,5,9998469640,3,910
incremental,31,5,9995469446,1,953
incremental,32,5,9994469663,4,925
incremental,33,5,9996469487,4,924
incremental,34,5,9994469663,1,918
incremental,35,5,9996469693,5,910
incremental,36,5,9993469395,4,1094
incremental,37,5,9994469694,5,1154
incremental,38,5,9996469613,5,1007
incremental,39,5,9995469557,3,986
incremental,40,5,9998469779,4,1018
incremental,41,5,9993469654,4,984
incremental,42,5,9995469812,5,1029
incremental,43,5,9998469618,5,1033
incremental,44,5,9995469533,4,984
incremental,45,5,9992469663,5,959
incremental,46,5,9995469470,5,942
incremental,47,5,9991469420,2,962
incremental,48,5,9996469424,4,1008
incremental,49,5,9995469833,2,987
incremental,0,10,9999469840,9,1343
incremental,1,10,9999469676,7,1364
incremental,2,10,9996469596,6,1379
incremental,3,10,9999469785,9,1389
incremental,4,10,9998469574,9,1352
incremental,5,10,9999469638,6,1401
incremental,6,10,9999469819,10,1347
incremental,7,10,9999469889,10,1348
incremental,8,10,9999469836,9,1365
incremental,9,10,9999469981,4,1420
incremental,10,10,9996469639,6,1415
incremental,11,10,9998469926,10,1384
incremental,12,10,9998469855,10,1368
incremental,13,10,9995469734,2,1345
incremental,14,10,9998469734,10,1353
incremental,15,10,9999469797,9,1348
incremental,16,10,9999469668,7,1412
incremental,17,10,9998469877,10,1345
incremental,18,10,9999469750,10,1352
incremental,19,10,9999469825,7,1356
incremental,20,10,9998469833,8,1343
incremental,21,10,9998469870,8,1349
incremental,22,10,9998469991,7,1377
incremental,23,10,9999469929,10,1341
incremental,24,10,9997469707,7,1349
incremental,25,10,9996469565,10,1338
